20190902,hz,滨江区,中医药大学,https://www.danke.com/room/1879589068.html,中医药大学  钱塘山水 4室1厅,建筑面积约7㎡|16楼|4室1卫|朝东,1590,https://public.danke.com.cn/public-20180425-FgFvZhAPMEaNHHnmZPSV8YUK4tKw?imageView2/1/w/380/h/285,2019-09-02 22:14:02,
20190902,hz,滨江区,中医药大学,https://www.danke.com/room/100520389.html,中医药大学  观邸国际 4室2厅,建筑面积约16㎡|11楼|4室1卫|朝南,2490,https://public.danke.com.cn/public-20190124-isz_FudpoTImnXHD9iGH5izX_f43auqq?imageView2/1/w/380/h/285,2019-09-02 22:14:03,
20190902,hz,滨江区,中医药大学,https://www.danke.com/room/1734065294.html,中医药大学  观邸国际 4室1厅,建筑面积约17㎡|15楼|4室1卫|朝南,2130,https://public.danke.com.cn/public-20171225-Fh5kgyGXZ5C2kDq7WZCQx8SXoVBa?imageView2/1/w/380/h/285,2019-09-02 22:14:04,
20190902,hz,滨江区,中医药大学,https://www.danke.com/room/117481708.html,中医药大学  钱塘大观 5室1厅,建筑面积约44㎡|10楼|5室1卫|朝西南,3200,https://public.danke.com.cn/public-20190830-Fl77tvkrBosijpYTB_5B2sWHHunm?imageView2/1/w/380/h/285,2019-09-02 22:14:04,
20190902,hz,滨江区,中医药大学,https://www.danke.com/room/1821603540.html,中医药大学  钱江湾花园 4室1厅,建筑面积约11㎡|10楼|4室1卫|朝北,1830,//pangu-s1.danke.com.cn/build/img/room/no-picture-e63a495fc7.jpg??imageView2/1/w/380/h/285,2019-09-02 22:14:05,
20190902,hz,滨江区,中医药大学,https://www.danke.com/room/1460639291.html,中医药大学  钱江湾花园 4室1厅,建筑面积约10㎡|10楼|4室1卫|朝北,1760,//pangu-s1.danke.com.cn/build/img/room/no-picture-e63a495fc7.jpg??imageView2/1/w/380/h/285,2019-09-02 22:14:07,
20190902,hz,滨江区,中医药大学,https://www.danke.com/room/1158582226.html,中医药大学  钱江湾花园 4室1厅,建筑面积约10㎡|3楼|4室1卫|朝北,1760,//pangu-s1.danke.com.cn/build/img/room/no-picture-e63a495fc7.jpg??imageView2/1/w/380/h/285,2019-09-02 22:14:08,
20190902,hz,滨江区,中医药大学,https://www.danke.com/room/252826891.html,中医药大学  钱江湾花园 5室1厅,建筑面积约9㎡|5楼|5室1卫|朝北,1720,//pangu-s1.danke.com.cn/build/img/room/no-picture-e63a495fc7.jpg??imageView2/1/w/380/h/285,2019-09-02 22:14:08,
20190902,hz,滨江区,中医药大学,https://www.danke.com/room/77903268.html,中医药大学  钱江湾花园 5室1厅,建筑面积约19㎡|5楼|5室1卫|朝西,2080,//pangu-s1.danke.com.cn/build/img/room/no-picture-e63a495fc7.jpg??imageView2/1/w/380/h/285,2019-09-02 22:14:09,
20190902,hz,滨江区,中医药大学,https://www.danke.com/room/1357641738.html,中医药大学  钱塘山水 7室3厅,建筑面积约52㎡|1楼|7室2卫|朝南,3025,https://public.danke.com.cn/public-20190505-Fk1z2OLMbPaGCGa85bP5EN4Ymtio?imageView2/1/w/380/h/285,2019-09-02 22:14:09,
